"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BBB-WBO-B21","BBB-WBV-B70","BBO-BBO-B16","BBO-BBY-B27","BBO-WBO-B16","BBO-WBV-B64","BBR-BBB-B50","BBR-BBG-B38","BBR-BBY-B26","BBY-WBG-B42","BPO-BPO-O16","BPR-BPG-O38","BPR-BPR-O02","BPY-BPG-O42","BPY-BPY-O29","WBB-WBV-W69","WBG-BBB-W56","WBG-WBG-W44","WBO-BBR-W03","WBO-WBV-W64","WBR-BBY-W25","WBV-WBO-W23","WBV-WBR-W12","WBY-BBV-W65","WBY-BBY-W30","WPB-BPG-G45","WPO-BPO-G16","WPO-BPY-G28","WPR-BPY-G25","WPV-BPR-G11","seqname","source","feature","start","end","score","strand","frame","attributes"
"1","LOC111099115",46.8306888166175,1.78858640472996,0.38855540262167,4.60316956774238,4.16109163946603e-06,0.000200418292920655,137,141,70,54,139,177,46,89,70,27,11,64,5,5,12,136,68,12,9,83,24,28,9,49,37,42,33,67,84,5,"NC_035780.1","Gnomon","gene",1840607,1842557,".","-",".","gene_id ""LOC111103177""; db_xref ""GeneID:111103177""; gbkey ""Gene""; gene ""LOC111103177""; gene_biotype ""protein_coding""; "
"2","LOC111099216",29.5116490713894,1.48286142511512,0.440150830782947,3.36898472388971,0.00075445610108025,0.0125496496400134,61,59,55,16,85,42,28,61,36,9,16,22,8,2,13,73,54,15,5,61,16,23,3,64,33,48,14,45,40,1,"NC_035780.1","Gnomon","gene",3517611,3518657,".","+",".","gene_id ""LOC111132154""; db_xref ""GeneID:111132154""; gbkey ""Gene""; gene ""LOC111132154""; gene_biotype ""lncRNA""; "
"3","LOC111099417",51.7001074755184,2.74874287789152,0.687936054131082,3.99563718369638,6.45204822137075e-05,0.00195670837366754,101,98,62,25,93,5,11,68,91,4,14,23,13,5,3,150,56,21,10,78,15,7,1,91,12,38,26,143,49,3,"NC_035780.1","Gnomon","gene",3920144,3928549,".","+",".","gene_id ""LOC111112068""; db_xref ""GeneID:111112068""; gbkey ""Gene""; gene ""LOC111112068""; gene_biotype ""protein_coding""; "
"4","LOC111099424",16.1274696848278,3.43844453272146,0.826965276175445,4.15790678494217,3.21177020451863e-05,0.00107459456537444,57,50,10,17,41,61,7,33,4,3,0,6,0,1,0,10,11,3,5,3,8,3,0,6,10,1,2,48,19,2,"NC_035780.1","Gnomon","gene",4012455,4013027,".","+",".","gene_id ""LOC111130177""; db_xref ""GeneID:111130177""; gbkey ""Gene""; gene ""LOC111130177""; gene_biotype ""protein_coding""; "
"5","LOC111099722",593.622300490526,0.899351501638737,0.232459845619976,3.8688466786173,0.00010935137425012,0.00286998247507951,1591,1713,1323,778,1970,1251,666,1295,1073,311,141,730,215,112,360,1582,950,294,130,991,521,505,117,1138,679,600,490,224,820,153,"NC_035780.1","Gnomon","gene",8951007,8951628,".","-",".","gene_id ""LOC111114945""; db_xref ""GeneID:111114945""; gbkey ""Gene""; gene ""LOC111114945""; gene_biotype ""lncRNA""; "
"6","LOC111099918",87.2367017236166,0.656751219091182,0.225184154124768,2.91650725444605,0.00353974491413624,0.0407210025161657,328,280,280,121,241,310,124,222,165,54,17,136,27,17,46,224,214,31,16,184,62,56,26,159,83,117,67,52,115,6,"NC_035780.1","Gnomon","gene",11951821,11976757,".","+",".","gene_id ""LOC111112589""; db_xref ""GeneID:111112589""; gbkey ""Gene""; gene ""LOC111112589""; gene_biotype ""protein_coding""; "
"7","LOC111099923",13.0819164008933,3.66776153101765,0.931996671508676,3.93538050418188,8.3064986471882e-05,0.00234886345616941,34,1,21,18,24,49,12,31,11,4,0,12,9,0,1,2,31,2,0,8,1,4,1,11,1,0,8,40,10,0,"NC_035780.1","Gnomon","gene",12123010,12133748,".","+",".","gene_id ""LOC111132834""; db_xref ""GeneID:111132834""; gbkey ""Gene""; gene ""LOC111132834""; gene_biotype ""protein_coding""; "
"8","LOC111100043",78.5434626012517,4.43104068946581,0.710288336846762,6.23836892653605,4.42156882075118e-10,8.80897097334201e-08,70,34,24,31,57,59,18,30,30,1,5,27,11,14,7,72,25,7,10,21,12,16,2,26,25,13,15,32,22,121,"NC_035780.1","Gnomon","gene",14020762,14066106,".","+",".","gene_id ""LOC111134218""; db_xref ""GeneID:111134218""; gbkey ""Gene""; gene ""LOC111134218""; gene_biotype ""protein_coding""; "
"9","LOC111100092",220.625674705057,2.05413115702717,0.386732129355538,5.31150892595927,1.08721244603748e-07,7.68589056610043e-06,550,431,291,216,438,406,154,349,276,77,34,232,44,37,66,339,493,90,33,296,125,136,35,282,205,202,140,118,174,150,"NC_035780.1","Gnomon","gene",14613290,14619708,".","+",".","gene_id ""LOC111138517""; db_xref ""GeneID:111138517""; gbkey ""Gene""; gene ""LOC111138517""; gene_biotype ""protein_coding""; "
"10","LOC111100143",37.9560446337286,0.95777982879328,0.32825940518069,2.91775289200342,0.00352563626571017,0.040665430927915,132,100,78,42,76,86,46,111,71,22,10,55,14,8,19,77,106,21,6,61,37,20,6,63,38,37,25,36,63,2,"NC_035780.1","Gnomon","gene",15702870,15704645,".","+",".","gene_id ""LOC111132759""; db_xref ""GeneID:111132759""; gbkey ""Gene""; gene ""LOC111132759""; gene_biotype ""lncRNA""; "
