"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","seqname","source","feature","start","end","score","strand","frame","attributes"
"LOC111099115",46.8306888166175,1.53854077216826,0.381107414518493,4.03702660603471,5.4132931684613e-05,0.00183760233365312,"NC_035780.1","Gnomon","gene",315522,340261,".","+",".","gene_id ""LOC111133260""; db_xref ""GeneID:111133260""; gbkey ""Gene""; gene ""LOC111133260""; gene_biotype ""protein_coding""; "
"LOC111099216",29.5116490713894,1.89841069314398,0.43394135402098,4.37480935051005,1.21538653388293e-05,0.000569723892171536,"NC_035780.1","Gnomon","gene",394983,409280,".","-",".","gene_id ""LOC111117672""; db_xref ""GeneID:111117672""; gbkey ""Gene""; gene ""LOC111117672""; gene_biotype ""protein_coding""; "
"LOC111099417",51.7001074755184,3.16942750684036,0.683845652705596,4.6347117866447,3.57435126727028e-06,0.000200623735981735,"NC_035780.1","Gnomon","gene",544088,573497,".","+",".","gene_id ""LOC111114201""; db_xref ""GeneID:111114201""; gbkey ""Gene""; gene ""LOC111114201""; gene_biotype ""protein_coding""; "
"LOC111099424",16.1274696848278,2.58258068064039,0.804560312191023,3.20992800851358,0.0013276822020933,0.0222681372889555,"NC_035780.1","Gnomon","gene",663525,671754,".","-",".","gene_id ""LOC111121058""; db_xref ""GeneID:111121058""; gbkey ""Gene""; gene ""LOC111121058""; gene_biotype ""protein_coding""; "
"LOC111099722",593.622300490526,0.998931468853615,0.231655559654247,4.31214113895884,1.61681167013978e-05,0.000705054258309415,"NC_035780.1","Gnomon","gene",1982711,1993041,".","-",".","gene_id ""LOC111104153""; db_xref ""GeneID:111104153""; gbkey ""Gene""; gene ""LOC111104153""; gene_biotype ""protein_coding""; "
"LOC111099767",3.87622411064429,4.9030365835172,1.30350262914271,3.76143206304222,0.000168943310615806,0.00456066489467145,"NC_035780.1","Gnomon","gene",2028071,2046722,".","-",".","gene_id ""LOC111121733""; db_xref ""GeneID:111121733""; gbkey ""Gene""; gene ""LOC111121733""; gene_biotype ""protein_coding""; "
"LOC111100043",78.5434626012517,4.79434082377731,0.703961314912002,6.81051745631309,9.72483113334095e-12,7.44590854393115e-09,"NC_035780.1","Gnomon","gene",2554181,2599559,".","-",".","gene_id ""LOC111128103""; db_xref ""GeneID:111128103""; gbkey ""Gene""; gene ""LOC111128103""; gene_biotype ""protein_coding""; "
"LOC111100092",220.625674705057,2.27803105426692,0.385147454409101,5.91469845688559,3.32484134557511e-09,4.18856124179229e-07,"NC_035780.1","Gnomon","gene",2653510,2664271,".","+",".","gene_id ""LOC111112387""; db_xref ""GeneID:111112387""; gbkey ""Gene""; gene ""LOC111112387""; gene_biotype ""protein_coding""; "
"LOC111100143",37.9560446337286,0.950051339193021,0.320856765592563,2.96098272211419,0.00306659141897536,0.0412933652118083,"NC_035780.1","Gnomon","gene",2931744,2936496,".","+",".","gene_id ""LOC111137770""; db_xref ""GeneID:111137770""; gbkey ""Gene""; gene ""LOC111137770""; gene_biotype ""protein_coding""; "
"LOC111100148",157.637232659456,0.96575453366495,0.257420948482362,3.75165478706611,0.000175671242604058,0.00469092254755158,"NC_035780.1","Gnomon","gene",7295075,7306858,".","+",".","gene_id ""LOC111127317""; db_xref ""GeneID:111127317""; gbkey ""Gene""; gene ""LOC111127317""; gene_biotype ""protein_coding""; "
"LOC111100321",19.7867184163876,1.32619843761935,0.436051502639872,3.0413802718039,0.00235496202183621,0.0342314864148448,"NC_035780.1","Gnomon","gene",7386723,7414898,".","-",".","gene_id ""LOC111123891""; db_xref ""GeneID:111123891""; gbkey ""Gene""; gene ""LOC111123891""; gene_biotype ""protein_coding""; "
"LOC111100327",33.115068131582,1.62694887927084,0.419840417978938,3.8751602027808,0.00010655457435674,0.0031702387466478,"NC_035780.1","Gnomon","gene",7571885,7596667,".","-",".","gene_id ""LOC111127104""; db_xref ""GeneID:111127104""; gbkey ""Gene""; gene ""LOC111127104""; gene_biotype ""protein_coding""; "
"LOC111100344",36.3596445498668,1.26999202580381,0.422282342719605,3.00744761816167,0.00263451523635033,0.0373376671871751,"NC_035780.1","Gnomon","gene",8155358,8158602,".","-",".","gene_id ""LOC111102556""; db_xref ""GeneID:111102556""; gbkey ""Gene""; gene ""LOC111102556""; gene_biotype ""protein_coding""; "
"LOC111100574",38.9321135107602,1.61600056259216,0.390868422327081,4.13438505206204,3.55906331507634e-05,0.00131015129436155,"NC_035780.1","Gnomon","gene",10136214,10167580,".","+",".","gene_id ""LOC111104770""; db_xref ""GeneID:111104770""; gbkey ""Gene""; gene ""LOC111104770""; gene_biotype ""protein_coding""; "
"LOC111100602",45.7327165018591,1.52727064901484,0.453782168010957,3.36564712471902,0.000763643310124571,0.0148766114264474,"NC_035780.1","Gnomon","gene",11375117,11430212,".","+",".","gene_id ""LOC111110014""; db_xref ""GeneID:111110014""; gbkey ""Gene""; gene ""LOC111110014""; gene_biotype ""protein_coding""; "
"LOC111100645",27.8808271367763,1.72378091672559,0.538570665185994,3.20065875873556,0.00137113810661521,0.02286171154824,"NC_035780.1","Gnomon","gene",13674308,13678917,".","+",".","gene_id ""LOC111104344""; db_xref ""GeneID:111104344""; gbkey ""Gene""; gene ""LOC111104344""; gene_biotype ""protein_coding""; "
