"","symbol","baseMean","log2FC","lfcSE","stat","pvalue","padj","name"
"3","LOC111099585",36.3254839190662,0.985439080512702,0.20910563898045,3.51706957353484,0.000436339395605587,0.0332446433183548,"lys-63-specific deubiquitinase BRCC36-like"
"5","LOC111099978",37.239138121344,1.15309048028897,0.26121318916866,3.457292808082,0.000545631637731778,0.0390971050893759,"oncoprotein-induced transcript 3 protein-like, transcript variant X1"
"7","LOC111100625",38.3951784806512,-1.20607878097178,0.262180915623679,-3.6466375849571,0.000265694243970076,0.0235178478596454,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like, transcript variant X2"
"8","LOC111100898",38.3419107000128,-1.3046635599725,0.243806362664544,-4.32582459475688,1.51962312777837e-05,0.00320123832348374,"uncharacterized LOC111100898, transcript variant X3"
"9","LOC111100915",20.557562314267,1.65290723790474,0.301588263624026,4.65173021339342,3.29161533715387e-06,0.00103781953484269,"uncharacterized LOC111100915, transcript variant X2"
"11","LOC111101375",40.3203276762053,-1.22804072362047,0.236701708454915,-4.13195464453845,3.5969140547419e-05,0.00577328685213106,"mu-type opioid receptor-like"
"12","LOC111101401",8.70730551007251,-1.73631995988536,0.351516476124076,-4.22830809034605,2.35455228936256e-05,0.00429456067565855,"von Willebrand factor D and EGF domain-containing protein-like, transcript variant X2"
"13","LOC111101764",18.8293192466402,-1.32415609811652,0.30271735598799,-3.54837962498303,0.000387609124753444,0.0302989522323504,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like"
"14","LOC111101925",20.7480630960557,-1.70732111942309,0.308175125364579,-4.72887329144115,2.25769220740295e-06,0.000776517108363336,"protein DJ-1-like"
"16","LOC111102125",63.38067778526,-1.16306101471752,0.234429383593545,-3.89482325432631,9.82703593067678e-05,0.0121956555189162,"uncharacterized LOC111102125"
"17","LOC111103019",35.769434881616,-1.81774603244846,0.297309508133448,-5.27311098219157,1.34130394551427e-07,0.000120684758269241,"uncharacterized LOC111103019, transcript variant X4"
