From	To	Species	Gene Name
LOC111134684	111134684	Crassostrea virginica	synergin gamma-like(LOC111134684)
LOC111110475	111110475	Crassostrea virginica	uncharacterized LOC111110475(LOC111110475)
LOC111132265	111132265	Crassostrea virginica	uncharacterized LOC111132265(LOC111132265)
LOC111135536	111135536	Crassostrea virginica	two pore calcium channel protein 1-like(LOC111135536)
LOC111099115	111099115	Crassostrea virginica	GPI transamidase component PIG-T-like(LOC111099115)
LOC111136502	111136502	Crassostrea virginica	E3 ubiquitin-protein ligase DTX4-like(LOC111136502)
LOC111134449	111134449	Crassostrea virginica	eukaryotic translation initiation factor 4E transporter-like(LOC111134449)
LOC111121130	111121130	Crassostrea virginica	RNA 3'-terminal phosphate cyclase-like protein(LOC111121130)
LOC111125735	111125735	Crassostrea virginica	axonemal dynein light chain domain-containing protein 1-like(LOC111125735)
LOC111124640	111124640	Crassostrea virginica	dipeptidyl peptidase 2-like(LOC111124640)
LOC111118071	111118071	Crassostrea virginica	dnaJ homolog subfamily C member 21-like(LOC111118071)
LOC111134335	111134335	Crassostrea virginica	guanine nucleotide exchange factor DBS-like(LOC111134335)
LOC111114820	111114820	Crassostrea virginica	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1-like(LOC111114820)
LOC111107171	111107171	Crassostrea virginica	dipeptidyl peptidase 1-like(LOC111107171)
LOC111126835	111126835	Crassostrea virginica	ER degradation-enhancing alpha-mannosidase-like protein 3(LOC111126835)
LOC111124414	111124414	Crassostrea virginica	rootletin-like(LOC111124414)
LOC111103819	111103819	Crassostrea virginica	afadin-like(LOC111103819)
LOC111103816	111103816	Crassostrea virginica	baculoviral IAP repeat-containing protein 3-like(LOC111103816)
LOC111133241	111133241	Crassostrea virginica	vacuolar protein sorting-associated protein 51 homolog(LOC111133241)
LOC111136967	111136967	Crassostrea virginica	sodium/hydrogen exchanger 10-like(LOC111136967)
LOC111133218	111133218	Crassostrea virginica	uncharacterized LOC111133218(LOC111133218)
LOC111099216	111099216	Crassostrea virginica	F-box only protein 42-like(LOC111099216)
LOC111123891	111123891	Crassostrea virginica	lysine-specific histone demethylase 1B-like(LOC111123891)
